date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2013-01-01,6.5,3.1,9.3,4.8,0,216.0,14.0,50.0,1005.9,0
2013-01-02,5.5,3.4,8.0,2.3,0,236.0,11.5,27.4,1022.1,24
2013-01-03,8.4,6.1,10.5,3.2,0,224.0,10.4,31.7,1030.2,0
2013-01-04,9.4,7.7,10.3,0.6,0,287.0,12.6,37.1,1034.1,0
2013-01-05,7.5,6.9,8.2,0.2,0,283.0,9.4,26.3,1032.9,0
2013-01-06,7.6,6.4,8.9,0.0,0,283.0,10.4,27.4,1029.7,0
2013-01-07,7.8,6.0,9.1,0.0,0,235.0,5.4,13.7,1027.6,0
2013-01-08,6.3,4.8,7.6,0.0,0,228.0,6.5,24.8,1025.0,0
2013-01-09,5.6,4.7,6.9,4.6,0,218.0,7.2,30.6,1020.0,0
2013-01-10,4.8,2.6,6.1,1.2,0,276.0,9.7,28.1,1012.5,0
2013-01-11,-1.0,-6.2,2.6,0.0,0,148.0,6.5,18.4,1016.1,216
2013-01-12,-2.9,-7.5,1.5,0.0,0,113.0,8.6,23.4,1017.5,300
2013-01-13,-2.7,-6.6,0.8,0.0,0,91.0,10.1,25.2,1016.3,414
2013-01-14,-4.0,-6.9,-2.1,0.5,0,171.0,6.1,24.1,1013.1,6
2013-01-15,-2.3,-4.3,-1.1,3.6,10,125.0,11.9,35.3,1005.1,0
2013-01-16,-3.3,-4.4,-2.4,0.0,80,282.0,6.8,15.1,1009.1,0
2013-01-17,-3.2,-4.0,-2.6,0.0,70,328.0,9.4,25.6,1016.1,0
2013-01-18,-2.6,-6.7,-0.4,0.0,70,142.0,9.0,38.2,1009.0,54
2013-01-19,-3.4,-6.6,-1.9,0.0,60,96.0,17.6,38.5,998.0,6
2013-01-20,-3.2,-7.1,-0.7,5.8,60,95.0,14.0,35.6,994.2,0
2013-01-21,-1.0,-1.8,-0.2,0.1,140,117.0,10.4,22.3,997.6,0
2013-01-22,-1.0,-2.2,0.4,0.0,120,112.0,5.4,14.8,1003.8,0
2013-01-23,-1.1,-3.1,0.8,0.0,110,126.0,4.0,10.1,1007.7,0
2013-01-24,-2.9,-6.3,-1.2,0.0,100,195.0,7.6,21.6,1013.6,0
2013-01-25,-2.5,-3.4,-2.1,0.0,90,120.0,9.0,33.8,1018.1,0
2013-01-26,-2.4,-3.7,-0.2,0.1,80,143.0,17.3,37.1,1011.9,24
2013-01-27,1.9,-0.8,4.1,4.1,80,147.0,13.3,38.2,1005.3,0
2013-01-28,3.3,0.1,6.4,0.8,20,181.0,12.6,37.4,1011.5,54
2013-01-29,9.1,6.1,12.0,11.5,0,202.0,15.1,37.1,1008.5,0
2013-01-30,11.5,7.9,14.9,8.7,0,236.0,24.1,59.8,1007.8,36
2013-01-31,7.8,6.3,9.2,1.8,0,245.0,22.3,71.6,1013.3,6
2013-02-01,6.0,3.2,8.2,9.8,0,202.0,13.7,47.9,1001.2,0
2013-02-02,2.8,1.9,4.3,1.2,0,313.0,15.8,47.9,1004.1,54
2013-02-03,3.6,1.7,5.7,3.1,0,267.0,18.0,49.3,1015.2,0
2013-02-04,6.9,4.7,9.8,0.8,0,257.0,16.9,49.3,1009.2,6
2013-02-05,3.1,-1.7,6.6,7.3,0,234.0,16.6,73.1,1000.4,78
2013-02-06,1.0,-0.5,2.7,0.5,40,202.0,12.2,34.6,997.9,42
2013-02-07,1.9,0.6,5.2,4.0,0,290.0,12.6,32.0,1009.1,108
2013-02-08,0.3,-2.1,1.5,0.8,40,310.0,10.8,29.5,1013.0,24
2013-02-09,-2.0,-5.8,2.9,0.1,30,160.0,6.1,20.9,1018.1,120
2013-02-10,-1.9,-4.6,1.7,0.0,20,124.0,17.6,47.2,1010.9,462
2013-02-11,-0.8,-3.1,1.3,0.0,0,118.0,19.4,42.5,1002.4,0
2013-02-12,-1.7,-6.6,0.1,0.0,0,54.0,7.9,23.4,1012.4,0
2013-02-13,-1.3,-5.1,2.3,0.0,0,91.0,5.8,16.6,1023.2,132
2013-02-14,-1.7,-5.2,1.2,1.1,0,129.0,15.1,36.4,1019.0,30
2013-02-15,1.3,-1.0,3.9,1.1,20,128.0,6.1,15.1,1017.8,0
2013-02-16,3.6,1.0,5.7,2.9,0,160.0,4.3,14.0,1022.8,0
2013-02-17,3.6,-1.8,7.0,0.0,0,115.0,7.2,19.1,1022.8,258
2013-02-18,1.1,-4.8,7.0,0.0,0,119.0,4.7,14.4,1020.7,534
2013-02-19,1.0,-2.2,2.7,0.7,0,205.0,6.8,21.6,1017.2,0
2013-02-20,-0.2,-2.9,2.7,0.0,0,56.0,11.5,29.9,1022.4,282
2013-02-21,-1.3,-3.9,2.1,0.0,0,45.0,13.7,34.9,1021.5,228
2013-02-22,-2.6,-4.3,-0.1,0.0,0,55.0,14.4,34.6,1016.4,156
2013-02-23,-3.0,-5.6,-1.5,1.1,0,141.0,12.6,31.3,1013.7,0
2013-02-24,-0.2,-2.7,1.9,0.9,40,335.0,9.4,17.6,1014.1,0
2013-02-25,1.2,0.3,2.6,2.4,0,271.0,8.6,18.7,1019.5,0
2013-02-26,3.6,0.9,7.5,0.0,0,126.0,10.4,25.6,1028.3,54
2013-02-27,2.1,0.9,3.3,0.0,0,82.0,7.9,21.6,1030.1,0
2013-02-28,2.8,0.3,6.5,0.0,0,186.0,6.1,21.6,1026.5,0
2013-03-01,2.6,1.2,4.1,0.0,0,164.0,9.0,24.1,1024.6,0
2013-03-02,2.1,-1.7,6.4,0.0,0,184.0,6.8,23.0,1024.3,324
2013-03-03,2.1,-0.8,5.2,0.0,0,154.0,4.3,17.3,1022.9,0
2013-03-04,4.7,-1.6,11.8,0.0,0,118.0,15.5,40.3,1017.9,606
2013-03-05,7.5,1.5,14.5,0.0,0,118.0,13.3,32.8,1009.6,570
2013-03-06,10.5,1.5,19.8,0.0,0,121.0,9.0,23.0,1002.1,522
2013-03-07,10.3,4.2,16.2,3.9,0,122.0,8.6,21.6,998.5,30
2013-03-08,12.0,8.2,17.7,1.0,0,112.0,14.8,32.4,997.8,150
2013-03-09,9.8,8.4,11.8,5.5,0,201.0,12.6,42.5,998.4,0
2013-03-10,2.8,-1.1,8.5,3.4,0,291.0,14.4,30.2,999.8,0
2013-03-11,-2.0,-2.9,-0.6,2.8,0,29.0,13.0,24.8,1003.9,0
2013-03-12,-3.6,-7.1,-2.1,3.9,50,92.0,12.6,32.0,1002.5,0
2013-03-13,-4.6,-12.5,0.8,0.5,120,220.0,6.8,24.5,1005.9,552
2013-03-14,-1.5,-6.4,2.0,0.3,60,251.0,8.3,37.8,1011.0,114
2013-03-15,-1.9,-10.4,3.9,0.0,40,142.0,7.9,23.8,1015.0,342
2013-03-16,4.1,0.6,7.5,0.0,0,133.0,20.2,43.9,1009.4,162
2013-03-17,3.8,2.0,5.7,1.7,0,125.0,20.9,44.6,998.5,18
2013-03-18,5.7,-1.2,10.9,0.0,0,160.0,9.4,34.9,993.3,438
2013-03-19,2.9,-2.5,8.7,4.6,0,128.0,7.6,24.5,997.6,66
2013-03-20,1.8,0.2,3.8,11.4,0,181.0,11.9,32.4,1003.0,0
2013-03-21,0.0,-4.9,2.3,0.2,0,244.0,7.2,19.4,1017.4,0
2013-03-22,0.8,-4.8,6.9,0.0,0,97.0,18.0,47.9,1015.8,324
2013-03-23,0.4,-1.4,2.8,0.0,0,98.0,26.6,48.2,1013.8,0
2013-03-24,0.3,-2.8,5.1,0.0,0,95.0,24.8,46.1,1013.1,234
2013-03-25,0.4,-2.8,5.5,0.0,0,89.0,20.9,42.8,1012.3,300
2013-03-26,0.6,-3.8,6.0,0.0,0,80.0,17.6,38.9,1011.3,666
2013-03-27,1.2,-3.9,6.8,0.0,0,97.0,15.1,37.1,1009.8,636
2013-03-28,1.5,-2.0,5.6,0.9,0,77.0,9.4,23.4,1007.7,288
2013-03-29,-0.4,-3.8,3.0,0.1,10,320.0,7.9,24.5,1007.5,42
